iter	Passed	Remaining
0	33	119127
1	58	105747
2	97	116922
3	124	112007
4	149	107310
5	176	105935
6	205	105328
7	234	105372
8	264	105709
9	300	107745
10	329	107529
11	355	106239
12	384	106202
13	408	104526
14	441	105422
15	464	104067
16	497	104859
17	527	104926
18	553	104338
19	582	104309
20	608	103627
21	642	104510
22	661	102931
23	698	104083
24	719	102833
25	747	102791
26	780	103312
27	808	103162
28	842	103784
29	864	102835
30	896	103256
31	928	103537
32	955	103327
33	990	103852
34	1013	103264
35	1045	103455
36	1064	102493
37	1094	102640
38	1121	102441
39	1151	102474
40	1185	102876
41	1209	102431
42	1245	103047
43	1276	103147
44	1302	102865
45	1329	102733
46	1354	102422
47	1390	102879
48	1419	102843
49	1451	103087
50	1484	103269
51	1510	103050
52	1546	103481
53	1580	103779
54	1610	103834
55	1644	104081
56	1676	104202
57	1704	104103
58	1738	104332
59	1770	104479
60	1804	104710
61	1840	105017
62	1870	105027
63	1906	105324
64	1944	105740
65	1977	105903
66	2003	105669
67	2040	105978
68	2073	106109
69	2105	106162
70	2134	106102
71	2167	106226
72	2199	106267
73	2233	106401
74	2260	106243
75	2291	106275
76	2324	106365
77	2352	106230
78	2385	106327
79	2423	106646
80	2456	106708
81	2490	106857
82	2527	107109
83	2555	106953
84	2589	107068
85	2622	107152
86	2653	107128
87	2703	107879
88	2733	107824
89	2755	107466
90	2786	107459
91	2823	107674
92	2852	107575
93	2888	107727
94	2924	107897
95	2962	108116
96	2997	108259
97	3032	108375
98	3061	108257
99	3091	108209
100	3123	108218
101	3148	107982
102	3187	108235
103	3222	108319
104	3247	108095
105	3285	108302
106	3321	108419
107	3351	108370
108	3389	108552
109	3424	108647
110	3449	108429
111	3486	108578
112	3515	108496
113	3542	108340
114	3579	108478
115	3610	108424
116	3643	108474
117	3678	108534
118	3711	108567
119	3740	108483
120	3761	108138
121	3786	107941
122	3831	108318
123	3865	108368
124	3898	108365
125	3936	108525
126	3964	108404
127	3991	108275
128	4027	108356
129	4058	108325
130	4101	108605
131	4131	108549
132	4163	108531
133	4191	108408
134	4227	108516
135	4247	108191
136	4281	108232
137	4307	108061
138	4342	108126
139	4377	108187
140	4408	108147
141	4437	108059
142	4472	108118
143	4504	108108
144	4537	108110
145	4574	108221
146	4609	108284
147	4646	108374
148	4681	108422
149	4718	108523
150	4747	108447
151	4784	108531
152	4819	108571
153	4852	108575
154	4882	108509
155	4921	108645
156	4950	108558
157	4977	108441
158	5010	108442
159	5042	108407
160	5079	108505
161	5115	108566
162	5145	108492
163	5188	108705
164	5225	108792
165	5258	108771
166	5290	108754
167	5329	108866
168	5366	108944
169	5401	108978
170	5435	109004
171	5473	109094
172	5505	109052
173	5534	108969
174	5572	109056
175	5606	109078
176	5640	109076
177	5680	109204
178	5716	109249
179	5754	109344
180	5788	109333
181	5826	109416
182	5860	109425
183	5889	109347
184	5915	109196
185	5943	109100
186	5974	109033
187	6002	108940
188	6035	108924
189	6077	109075
190	6117	109191
191	6150	109169
192	6181	109126
193	6217	109158
194	6251	109154
195	6281	109090
196	6318	109140
197	6365	109367
198	6411	109571
199	6440	109483
200	6477	109530
201	6514	109587
202	6551	109624
203	6582	109578
204	6618	109607
205	6652	109605
206	6680	109495
207	6722	109628
208	6757	109644
209	6789	109606
210	6823	109598
211	6861	109654
212	6891	109584
213	6926	109590
214	6961	109606
215	6989	109509
216	7026	109538
217	7063	109582
218	7099	109610
219	7130	109550
220	7170	109634
221	7209	109699
222	7242	109679
223	7277	109676
224	7315	109726
225	7352	109765
226	7377	109622
227	7416	109689
228	7453	109712
229	7483	109642
230	7520	109685
231	7559	109740
232	7594	109751
233	7627	109725
234	7666	109774
235	7704	109822
236	7735	109772
237	7764	109682
238	7792	109578
239	7823	109533
240	7859	109539
241	7892	109522
242	7932	109581
243	7961	109502
244	7994	109473
245	8021	109369
246	8055	109356
247	8084	109275
248	8125	109348
249	8160	109349
250	8202	109441
251	8231	109366
252	8262	109307
253	8298	109316
254	8328	109255
255	8371	109349
256	8410	109408
257	8454	109516
258	8492	109550
259	8518	109433
260	8556	109470
261	8593	109485
262	8623	109414
263	8669	109549
264	8706	109573
265	8744	109603
266	8774	109527
267	8804	109460
268	8831	109363
269	8858	109256
270	8887	109171
271	8922	109166
272	8953	109115
273	8987	109092
274	9018	109047
275	9057	109088
276	9093	109091
277	9122	109011
278	9157	109003
279	9190	108970
280	9218	108883
281	9258	108934
282	9293	108929
283	9327	108910
284	9362	108903
285	9397	108892
286	9424	108790
287	9463	108831
288	9499	108834
289	9531	108788
290	9564	108760
291	9599	108750
292	9629	108688
293	9655	108577
294	9685	108513
295	9719	108487
296	9744	108370
297	9772	108279
298	9798	108174
299	9830	108136
300	9859	108063
301	9894	108047
302	9923	107976
303	9954	107924
304	9990	107935
305	10022	107887
306	10058	107889
307	10097	107924
308	10133	107931
309	10159	107821
310	10197	107839
311	10230	107810
312	10259	107739
313	10297	107766
314	10331	107738
315	10355	107621
316	10392	107629
317	10428	107631
318	10454	107526
319	10488	107506
320	10520	107471
321	10549	107391
322	10585	107392
323	10617	107354
324	10646	107282
325	10680	107263
326	10711	107211
327	10732	107063
328	10757	106957
329	10780	106823
330	10804	106704
331	10837	106672
332	10862	106568
333	10892	106511
334	10922	106457
335	10947	106351
336	10978	106301
337	10998	106146
338	11034	106145
339	11067	106113
340	11095	106045
341	11129	106022
342	11150	105885
343	11188	105897
344	11221	105876
345	11250	105809
346	11283	105782
347	11314	105729
348	11340	105638
349	11372	105601
350	11396	105491
351	11431	105477
352	11461	105430
353	11490	105361
354	11525	105357
355	11555	105301
356	11584	105233
357	11619	105221
358	11643	105113
359	11680	105127
360	11716	105128
361	11746	105071
362	11782	105072
363	11817	105063
364	11844	104974
365	11882	104998
366	11921	105015
367	11946	104922
368	11980	104898
369	12009	104836
370	12037	104764
371	12065	104698
372	12088	104581
373	12129	104627
374	12167	104639
375	12190	104527
376	12218	104455
377	12242	104354
378	12266	104248
379	12289	104139
380	12323	104116
381	12358	104106
382	12391	104081
383	12424	104052
384	12455	104013
385	12482	103937
386	12516	103914
387	12543	103837
388	12575	103801
389	12613	103817
390	12639	103736
391	12671	103703
392	12705	103683
393	12737	103645
394	12774	103654
395	12812	103666
396	12836	103564
397	12864	103499
